,adasen,bikolano,cebuano,chavacano,english,ilokano,ilonggo,kinaray-a,masbatenyo,paranan,romblomanon,spanish,tagalog,tausug,waray,yami
gol,1,14,16,4,7,8,12,8,8,2,2,17,35,0,35,13
tig,11,15,124,112,0,5,71,20,82,21,50,36,15,18,105,0
sej,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0
ubd,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
tka,9,0,0,0,0,49,0,0,0,78,0,0,0,0,1,34
fea,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0
att,36,0,0,0,39,453,0,0,0,1,0,0,0,48,0,0
edn,3,0,0,0,3,15,0,0,0,0,0,0,0,0,0,7
sdi,1,0,0,0,1,1,3,3,2,0,0,1,0,0,0,2
osk,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2
oos,0,1,0,0,19,0,0,0,0,0,0,2,0,0,2,0
n_o,40,115,62,81,416,28,254,243,218,63,224,84,40,0,222,339
atc,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
ogm,0,51,0,0,0,0,3,0,0,0,0,0,0,0,0,0
acu,0,0,0,45,0,0,0,0,0,0,0,35,0,0,0,0
pt_,0,0,0,0,40,0,0,0,0,0,0,1,0,0,0,0
adg,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nhu,0,0,0,0,0,0,3,25,70,23,0,0,0,0,39,0
oty,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1
e_h,99,8,2,242,841,0,2,3,4,12,9,507,4,0,88,0
oll,1,0,0,4,80,0,0,0,0,0,0,18,0,0,0,0
r_z,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
puk,44,10,16,5,0,93,19,27,4,8,21,0,12,25,28,0
paj,0,0,0,17,0,0,0,0,0,0,0,7,0,18,0,0
m_g,15,6,10,0,48,18,9,18,14,492,47,0,1,20,8,2
dti,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11,0
zga,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
yet,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,4
mm_,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0
wou,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0
y_e,26,1,1,581,41,3,7,5,0,460,6,477,11,0,2,9
gyi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0
owv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
tla,1,0,6,0,0,2,6,3,2,0,4,0,0,9,0,6
udk,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ids,2,0,5,0,38,2,6,4,5,3,0,0,0,0,7,0
ail,151,0,55,8,33,84,7,0,4,76,3,2,122,40,3,0
gdy,0,0,0,0,0,0,0,0,10,0,16,0,0,0,0,0
_rc,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
aon,1,100,209,0,0,149,145,0,189,21,173,0,169,0,182,26
n_q,0,0,0,182,2,0,0,0,0,0,0,138,0,0,0,0
s_h,0,70,15,90,363,0,8,33,43,105,105,446,31,244,652,0
zis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
waa,7,66,44,0,0,2,5,3,12,5,0,0,18,60,13,0
gdi,19,149,17,0,0,42,6,10,3,45,14,0,13,28,16,0
nch,0,0,0,6,14,0,0,0,0,0,0,2,0,0,0,0
pga,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
fe_,0,0,0,105,89,0,0,0,0,0,0,30,0,0,0,0
unp,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
ekr,0,3,0,0,0,1,3,5,0,7,0,0,0,0,0,0
ojo,0,0,0,43,2,0,0,0,0,0,0,72,0,0,0,0
won,0,156,80,0,11,0,42,0,20,0,25,0,0,0,29,0
v_u,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
iec,0,0,0,0,23,0,0,0,0,0,0,6,0,0,0,0
tij,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
rks,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
uva,0,0,0,20,0,0,0,0,0,0,0,2,0,0,0,0
dun,25,3,148,1,2,48,20,83,54,3,10,0,3,246,14,0
pai,46,9,38,2,4,35,35,33,34,13,21,0,65,27,27,20
a_k,4000,1638,2440,77,6,1884,2383,3401,2239,1263,2130,0,2392,2530,1744,2346
bbu,21,0,0,0,0,10,0,0,0,23,0,0,0,90,0,0
agd,191,398,156,9,9,231,191,138,132,170,150,9,105,349,164,4
ian,0,23,214,16,12,240,156,231,210,4,206,43,193,89,457,0
ior,0,0,0,20,0,0,0,0,0,0,0,6,0,0,0,1
toc,0,0,0,3,0,0,0,0,0,0,0,34,0,0,0,0
mug,11,7,4,0,0,13,2,24,1,13,1,0,0,69,26,0
iml,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
lls,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
sir,271,221,37,37,23,51,45,57,112,8,57,26,12,19,800,1303
uog,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
mmu,258,0,0,0,5,171,0,0,0,125,0,0,0,0,0,0
bon,133,146,76,12,7,65,180,14,26,7,35,3,31,0,75,8
rop,0,96,85,84,90,0,80,87,83,84,104,46,83,0,8,0
rms,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
ogu,0,0,12,0,38,0,105,0,0,0,0,2,0,0,0,0
cth,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ipc,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
avo,0,0,0,37,5,0,0,0,0,0,0,9,0,0,0,166
bum,23,7,0,0,0,43,1,0,16,13,2,0,110,0,18,0
wut,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
ahs,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1
pl_,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
oft,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
gaw,81,14,99,0,0,167,32,55,34,0,40,0,243,610,145,33
_ot,0,12,0,387,94,1,15,0,39,0,40,200,0,0,9,1
dud,129,9,1,11,0,6,13,0,19,10,19,6,4,0,19,0
h_p,1,1,0,0,45,0,0,0,0,0,10,0,1,10,0,1
bde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
eyt,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132
fav,0,0,0,33,3,0,0,0,0,0,0,5,0,0,0,0
ugl,16,0,0,0,0,7,6,0,0,2,0,0,0,0,4,0
ywa,28,0,0,0,0,29,0,0,0,0,0,0,7,0,0,147
u_j,5,0,0,0,0,0,0,0,0,0,0,4,0,60,0,0
hta,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,3
pna,1,0,4,0,0,10,12,15,0,0,1,0,0,0,2,10
yla,2,0,8,0,1,5,0,0,0,0,0,0,5,42,0,44
upd,0,0,0,0,0,5,26,0,1,0,0,0,0,0,4,0
w_d,131,20,13,0,5,73,10,8,7,53,77,0,9,86,25,43
ieb,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
ao_,0,144,209,629,0,803,1,11,1,42,124,1,376,0,1,2726
ifi,0,0,0,55,42,3,0,0,0,0,0,92,0,0,0,0
tko,3,0,3,0,0,40,7,5,9,2,4,0,0,0,5,0
gay,239,103,486,827,0,239,234,89,484,483,222,0,630,250,53,1006
u_w,125,0,1,0,41,0,1,0,0,1,0,0,0,62,0,0
mku,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
olv,0,0,0,107,4,0,0,0,0,0,0,65,0,0,0,0
lvi,0,0,0,20,0,0,0,0,0,0,0,48,0,0,0,0
ghu,0,66,72,0,0,0,77,83,152,1,153,0,27,300,81,0
iot,0,9,6,9,7,9,6,6,9,6,7,7,6,0,6,0
bi_,155,513,28,183,7,25,83,66,458,677,48,195,1203,236,20,0
jar,0,1,2,22,1,1,2,2,1,1,1,35,1,207,1,0
ig_,297,95,178,0,14,68,142,153,78,399,91,6,345,80,109,19
x_d,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
dpo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
lga,6,0,1,2,0,0,0,0,0,0,0,13,0,16,0,0
ebr,0,2,0,54,0,0,0,0,1,0,0,20,0,0,0,0
nex,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
muk,0,10,8,4,0,2,4,3,8,9,3,0,24,23,17,0
g_f,0,10,0,1,61,0,5,6,0,0,0,0,8,0,0,0
dei,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sfi,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
vag,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4
voz,0,0,0,19,0,0,0,0,0,0,0,23,0,0,0,65
_aj,0,0,0,31,0,0,0,0,0,0,0,3,0,0,0,0
hut,0,1,6,1,7,0,2,3,4,0,2,0,0,4,0,0
om_,0,236,250,2,518,52,272,4,218,59,240,78,75,0,255,145
umu,122,56,15,12,7,104,0,49,155,93,4,6,266,235,53,0
_ro,0,20,8,111,93,4,4,9,4,7,14,97,52,0,8,0
uve,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
rma,2,2,0,105,0,7,1,2,184,3,2,115,0,29,0,1
egl,0,1,0,38,0,1,0,0,1,0,0,5,0,0,0,0
toy,0,0,5,0,0,661,9,10,0,1,3,5,0,0,1,9
zke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
mno,0,3,8,0,0,3,6,0,3,0,29,2,2,0,12,2
tuw,78,1,1,0,0,0,0,0,0,91,0,0,71,128,0,0
zed,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,11
gsi,234,146,39,0,0,154,603,53,52,64,70,0,109,25,477,16
wl_,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
enr,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0
rki,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0
aiz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
gmi,0,4,21,0,0,6,0,0,1,0,0,0,1,1,8,0
tva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
_pp,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0
ozo,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,130
etl,0,8,8,10,1,11,8,9,8,0,10,0,0,0,8,0
unk,13,0,0,0,6,35,0,0,0,0,0,0,0,0,0,0
ppa,19,0,0,0,3,18,0,0,0,36,0,0,0,55,0,9
dul,3,19,17,15,20,11,117,32,28,32,0,22,6,89,0,0
wu_,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
yom,0,0,0,0,0,1,0,0,0,0,39,0,3,0,0,5
goo,2,105,102,0,105,0,1,102,0,0,0,0,0,0,102,0
_en,162,45,2,1088,178,33,13,4,5,3378,4,2171,2,0,2,0
mec,27,1,1,2,1,1,2,2,1,1,2,4,1,0,2,0
six,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
sia,18,4,2,97,2,272,1128,6,3,3,2,7,2,0,2,1
phe,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,2
r_n,136,74,10,55,69,59,40,81,83,23,266,267,17,26,18,0
ify,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
omn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
ncl,0,0,0,3,21,0,0,0,0,0,0,5,0,0,0,0
eeg,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ngr,69,5,0,22,12,90,0,9,0,3,1,28,0,0,34,1
yot,1,0,3,827,0,1,4,1,2,2,1,0,0,0,0,107
ooy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0
ool,0,11,0,0,14,0,0,0,0,0,0,0,0,0,1,0
wgu,0,0,0,0,0,0,0,19,0,0,0,0,0,2,0,0
via,0,0,0,12,0,0,0,0,0,0,0,45,0,0,0,0
yog,0,49,63,0,0,40,2,0,0,0,65,0,1,0,13,4
ezm,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
wa_,380,248,223,0,0,59,348,456,289,164,263,0,415,1270,223,443
ro_,0,438,176,1508,0,395,618,978,849,112,855,977,189,0,291,660
asu,538,119,151,25,45,62,363,366,430,123,269,5,86,413,165,0
_ri,110,27,2,80,146,74,0,153,1,12,0,123,99,6,30,0
muy,41,7,0,0,0,18,64,69,1,0,81,32,0,9,5,0
_ll,0,0,0,593,0,0,0,0,0,303,0,376,0,0,0,0
awe,550,18,0,0,2,142,0,0,0,0,0,0,0,0,0,70
eym,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
ndr,8,8,8,8,26,8,8,8,8,8,7,85,8,0,8,0
a_p,2240,1115,1436,2326,64,827,1706,1573,1788,878,1551,651,966,1535,1020,636
nja,0,0,0,3,0,0,0,0,0,0,0,2,0,211,0,0
aus,41,1,11,127,98,5,5,5,5,1,3,47,4,7,62,0
_cu,0,1,1,962,52,1,0,1,0,1,1,661,1,0,0,0
agj,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0
igd,1,124,40,0,0,7,27,0,32,1,17,0,5,2,41,0
owy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
swo,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
ilv,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0
naz,0,18,18,18,18,18,18,18,18,18,21,19,18,0,18,69
yea,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,4
xis,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
kci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
our,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0
iso,12,11,31,9,21,17,115,96,45,2,86,15,15,0,38,22
oha,0,90,30,0,0,0,24,70,11,4,19,0,55,0,44,0
adr,0,0,1,170,0,0,0,0,0,0,0,230,0,0,0,0
rpe,2,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0
_bb,0,0,0,0,0,0,0,0,0,425,0,0,0,0,0,0
yug,1,0,3,0,0,0,0,4,2,52,148,2,0,71,2,0
due,0,0,0,48,5,0,0,0,0,0,0,19,0,0,0,0
ep_,223,0,0,0,46,45,0,0,0,3,0,4,0,0,0,122
abr,30,28,27,173,33,30,34,28,41,27,32,168,25,0,35,0
zta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
avy,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,119
_iv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
itl,0,0,1,0,0,10,23,28,3,0,33,0,1,0,0,10
z_t,0,0,0,6,2,0,0,2,0,1,0,6,0,0,0,0
kog,1,0,38,0,0,13,32,0,1,0,6,0,0,0,2,0
suj,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ben,49,26,0,62,2,44,11,0,5,151,7,31,0,0,9,56
iip,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
sfe,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
rav,0,0,0,17,4,0,0,0,0,0,0,32,0,0,0,0
unq,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0
alf,0,4,4,4,8,4,4,4,4,4,4,11,4,0,4,0
yvi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sey,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145
e_t,448,12,3,1006,1740,7,2,10,2,19,3,476,1,0,7,3
rci,0,0,0,0,6,0,0,0,0,0,0,28,0,0,0,3
str,52,52,4,236,182,135,7,60,48,7,60,316,4,3,3,0
omc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
_kr,94,46,44,0,0,44,45,45,42,52,90,0,41,0,42,0
sti,16,4,61,156,67,2,1,6,45,27,30,124,0,0,14,0
fig,0,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0
eol,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
awv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ppi,0,0,0,0,4,29,0,0,0,1,0,0,0,0,0,0
a_l,756,350,508,1793,53,283,496,535,625,415,535,950,565,1478,461,100
iab,0,2,69,0,0,16,5,3,0,0,1,23,0,0,8,0
_ca,0,17,19,2279,667,18,19,19,19,19,19,620,19,0,18,0
ebl,0,0,0,84,0,0,0,0,0,0,0,65,0,0,0,0
aim,9,215,4,7,19,144,10,48,11,12,8,0,2,54,1,0
kuy,2,40,41,0,0,27,3,2,0,89,33,0,1,34,0,0
iuh,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
iv_,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
udj,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0
anw,0,92,1,0,0,0,94,83,0,0,76,0,0,2,21,32
nkf,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
etp,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0
gns,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
