ngram,adasen,bikolano,cebuano,chavacano,english,ilokano,ilonggo,kinaray-a,masbatenyo,paranan,romblomanon,spanish,tagalog,tausug,waray,yami
gol,1.2978541103523917e-07,2.4971859053533406e-06,2.716146263699463e-06,5.53460891791409e-07,1.399967920410074e-06,1.4536685165868057e-06,1.9040486141706793e-06,1.2011524391342797e-06,1.3363672740072143e-06,3.3442940564565634e-07,3.175897326255609e-07,3.580033149708368e-06,6.0324267783545896e-06,0.0,5.737923234134312e-06,2.0553115293359496e-06
tig,2.953812546460938e-06,5.535775473810941e-06,4.3553115218845655e-05,3.206338270019152e-05,0.0,1.8797918865207633e-06,2.330877792187725e-05,6.2130164719004915e-06,2.8340927948153854e-05,7.265376500704666e-06,1.6427475612764376e-05,1.5685739429382378e-05,5.349086767723136e-06,4.884063908918962e-06,3.56156075515657e-05,0.0
sej,0.0,0.0,0.0,4.4581497603740614e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3570499349875748e-05,0.0,0.0,0.0,0.0
ubd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.225442249574977e-06,5.2821945833562014e-06,0.0
tka,2.1051614286920266e-05,0.0,0.0,0.0,0.0,0.00016046802058556424,0.0,0.0,0.0,0.00023506397822397828,0.0,0.0,0.0,0.0,2.9546341092429723e-06,9.687913244060828e-05
fea,0.0,0.0,0.0,0.0,0.0005670618396691217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
att,8.420645714768107e-05,0.0,0.0,0.0,0.00014057292092234754,0.0014835104760257264,0.0,0.0,0.0,3.01364074646126e-06,0.0,0.0,0.0,0.00011344953481178053,0.0,0.0
edn,8.363413678426193e-06,0.0,0.0,0.0,1.2887769083621543e-05,5.85467920592139e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3772168137713664e-05
sdi,1.393902279737699e-06,0.0,0.0,0.0,2.1479615139369235e-06,1.95155973530713e-06,5.112396075286324e-06,4.837665622045058e-06,3.588164060480832e-06,0.0,0.0,2.261749891659554e-06,0.0,0.0,0.0,3.396024019673381e-06
osk,0.0,0.0,0.0,0.0,0.0,4.098275444120338e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01880720589589e-05
oos,0.0,3.831415805780425e-06,0.0,0.0,8.16225375296031e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.046999566638217e-06,0.0,0.0,7.042926111183939e-06,0.0
n_o,5.1914164414095665e-06,2.0512598508259584e-05,1.0525066771835418e-05,1.1207583058776034e-05,8.319809355579869e-05,5.087839808053821e-06,4.030236233327938e-05,3.648500533870374e-05,3.6416008216696595e-05,1.0534526277838176e-05,3.557005005406282e-05,1.7689575563264878e-05,6.894202032405246e-06,0.0,3.639482737079478e-05,5.359620064960669e-05
atc,0.0,0.0,0.0,0.0,0.00029212276589015356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ogm,0.0,0.0002931033091404406,0.0,0.0,0.0,0.0,1.5337188225766776e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acu,0.0,0.0,0.0,0.00020061673921683277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002374837386228256,0.0,0.0,0.0,0.0
pt_,0.0,0.0,0.0,0.0,0.0002577553816708814,0.0,0.0,0.0,0.0,0.0,0.0,6.785249674937874e-06,0.0,0.0,0.0,0.0
adg,2.230243647540099e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhu,0.0,0.0,0.0,0.0,0.0,0.0,8.578968221753291e-06,6.764958972241562e-05,0.0002107419055291487,6.931373716860898e-05,0.0,0.0,0.0,0.0,0.00011523073026047592,0.0
oty,0.0,0.0,0.0,0.0,0.0,2.827853965704335e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2522326657818435e-06,4.1007626779737396e-06
e_h,4.133821821961197e-05,4.590959994705747e-06,1.092329966150252e-06,0.00010772909096740737,0.0005411363674373547,0.0,1.020980539505352e-06,1.4491724772514134e-06,2.14974287458641e-06,6.455745325308259e-06,4.598007226229973e-06,0.00034350793055869336,2.2180671411805782e-06,0.0,4.641518048062741e-05,0.0
oll,2.787804559475398e-06,0.0,0.0,1.1888399361068963e-05,0.0003436738422299078,0.0,0.0,0.0,0.0,0.0,0.0,8.142299609974396e-05,0.0,0.0,0.0,0.0
r_z,0.0,0.0,0.0,0.0,1.9331653625316108e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.785249674937874e-06,0.0,0.0,0.0,0.0
puk,1.8372541430938654e-05,5.738699993382183e-06,8.738639729202016e-06,2.225807664615855e-06,0.0,5.436870994566455e-05,9.699315125300843e-06,1.304255229526272e-05,2.14974287458641e-06,4.303830216872172e-06,1.072868352786994e-05,0.0,6.654201423541735e-06,1.0548122260373005e-05,1.4768466516563266e-05,0.0
paj,0.0,0.0,0.0,6.101072680957677e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8235475616361964e-05,0.0,6.122760890281736e-05,0.0,0.0
m_g,4.027926199719461e-06,2.214310189524376e-06,3.5123480015198116e-06,0.0,1.9862122236238696e-05,6.767250791474748e-06,2.954633821083031e-06,5.591714824710441e-06,4.838695015538462e-06,0.0001702173923022236,1.5441827075998512e-05,0.0,3.566057845148757e-07,5.426737676576624e-06,2.713570099166911e-06,6.542273119410292e-07
dti,0.0,0.0,0.0,0.0,0.0,0.0,2.556198037627796e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.810414041691821e-05,0.0
zga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.332899696532547e-05,0.0,0.0,0.0,0.0
yet,0.0,0.0,0.0,0.0,0.0003479697652556899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03761441179178e-05
mm_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011350055655688523,0.0,0.0,0.0,0.0,0.0,0.0
wou,0.0,0.0,0.0,0.0,0.000695939530503013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y_e,6.981738746180399e-06,3.690516982540627e-07,3.5123480015198116e-07,0.0001663287977572435,1.6965562743453888e-05,1.127875131912458e-06,2.2980485275090243e-06,1.5532541179751229e-06,0.0,0.00015914634239638792,1.971297073531725e-06,0.0002078360474393165,3.922663629663633e-06,0.0,6.783925247917278e-07,2.944022903734631e-06
gyi,0.0,0.0,0.0,0.0,0.0,5.854679205886196e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6410972916781006e-05,0.0
owv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.754433627456993e-05
tla,1.1570434328413495e-06,0.0,9.08046743846867e-06,0.0,0.0,3.2398818889364746e-06,8.487344329628402e-06,4.015625284236495e-06,2.9784452773245677e-06,0.0,5.662656712201214e-06,0.0,0.0,1.052230190771443e-05,0.0,8.456863899685958e-06
udk,0.0,0.0,0.0,0.0,0.0,2.3418716823263235e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
